Category,Attribute,Value
,Tech Abilities,This system is a gravity rift; your ships do not roll for this gravity rift. Up to 12 fighters in this system do not count against your ships' capacity.
Faction Tech 2,Tech Name,Vortex
,Tech Prerequisite,(R)
,Tech Effect,ACTION: Exhaust this card to choose another player's non-structure unit in a system that is adjacent to 1 or more of your space docks. Capture 1 unit of that type from that player's reinforcements.
Breakthrough (TE),BT Name,Al'raith Ix Ianovar
,BT Prerequisite,R$\leftrightarrow$G
,BT Effect (Immediate),"This breakthrough causes The Fracture to enter play without a roll, if it is not already in play. After this card enters play, move up to 2 ingress tokens into systems that contain gravity rifts."
,BT Effect (Movement),Apply +1 to the MOVE value of each of your ships that start their movement in The Fracture.
Flagship,Ship Name,The Terror Between
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. BOMBARDMENT 5. Capture all other non-structure units that are destroyed in this system, including your own."
Mech,Mech Name,Reanimator
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. When your infantry on this planet are destroyed, place them on your faction sheet; those units are captured."
Agent,Agent Name,The Stillness of Stars
,Agent Effect,After another player replenishes commodities: You may exhaust this card to convert their commodities to trade goods and capture 1 unit from their reinforcements that has a cost equal to or lower than their commodity value.
Commander,Commander Name,That Which Molds Flesh
,Commander Unlock,Have units in 3 gravity rifts.
,Commander Effect,When you produce fighter or infantry units: Up to 2 of those units do not count against your PRODUCTION limit.
Hero,Hero Name,It Feeds on Carrion
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Dimensional Anchor
,Hero Effect,"ACTION: Each other player rolls a die for each of his non-fighter ships that are in or adjacent to a system that contains a dimensional tear; on a 1-3, capture that unit. If this causes a player's ground forces or fighter to be removed, also capture those units. Then, purge this card."
,,
Faction Core,Faction Name,Winnu
,Home System Name,Winnu
,Home System Planets,3/4
,Commodities,3
Faction Abilities,Ability 1 Name,Blood Ties
,Ability 1 Effect,You do not have to spend influence to remove the custodians token from Mecatol Rex.
,Ability 2 Name,Reclamation
,Ability 2 Effect,"After you resolve a tactical action during which you gained control of Mecatol Rex, you may place 1 PDS and 1 space dock from your reinforcements on Mecatol Rex."
Promissory Note (Codex 1),PN Name,Acquiescence $\Omega$
,PN Text,"When the Winnu player resolves a strategic ACTION: You do not have to spend or place a command token to resolve the secondary ability of that strategy card. Then, return this card to the Winnu player."
Starting Assets,Starting Fleet Units,"1 Carrier, 1 Cruiser, 2 Fighters, 2 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,Choose any 1 technology that has no prerequisites
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Lazax Gate Folding
,Tech Prerequisite,(BB)
,Tech Effect (No Mecatol),"During your tactical actions, if you do not control Mecatol Rex, treat its system as if it contains both an alpha and beta wormhole."
,Tech Effect (Mecatol),"ACTION: If you control Mecatol Rex, exhaust this card to place 1 infantry from your reinforcements on Mecatol Rex."
Faction Tech 2,Tech Name,Hegemonic Trade Policy
,Tech Prerequisite,(YY)
,Tech Effect,Exhaust this card when 1 or more of your units use PRODUCTION; swap the resource and influence values of 1 planet you control until the end of your turn.
Breakthrough (TE),BT Name,Imperator
,BT Prerequisite,B$\leftrightarrow$R
,BT Effect (Combat),"Apply +1 to the results of each of your unit's combat rolls for each ""Support for the Throne"" in your opponent's play area."
,BT Effect (Movement),"After you activate a system that contains a legendary planet, apply +1 to the move value of 1 of your ships during this tactical action."
Flagship,Ship Name,Salai Sai Corian
,Ship Cost,8
,Ship Combat,7 (x?)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. When this unit makes a combat roll, it rolls a number of dice equal to the number of your opponent's non-fighter ships in this system."
Mech,Mech Name,Reclaimer
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. After you resolve a tactical action during which you gained control of this planet, you may place 1 PDS or 1 space dock from your reinforcements on this planet."
Agent,Agent Name,Berekar Berekon
,Agent Effect,When 1 or more of a player's units use PRODUCTION: You may exhaust this card to reduce the combined cost of the produced units by 2.
Commander,Commander Name,Rickar Rickani
,Commander Unlock,Control Mecatol Rex or enter into a combat in the Mecatol Rex system.
,Commander Effect,"During combat: Apply +2 to the result of each of your unit's combat rolls in the Mecatol Rex system, your home system, and each system that contains a legendary planet."
Hero,Hero Name,Mathis Mathinus
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Imperial Seal
,Hero Effect,"ACTION: Perform the primary ability of any strategy card. Then, choose any number of other players. Those players may perform the secondary ability of that strategy card. Then, purge this card."
,,
Faction Core,Faction Name,Xxcha Kingdom
,Home System Name,Archon Ren / Archon Tau
,Home System Planets,"2/3, 1/1"
,Commodities,4
Faction Abilities,Ability 1 Name,Peace Accords
,Ability 1 Effect,"After you resolve the primary or secondary ability of the ""Diplomacy"" strategy card, you may gain control of 1 planet other than Mecatol Rex that does not contain any units and is in a system that is adjacent to a planet you control."
,Ability 2 Name,Quash
,Ability 2 Effect,"When an agenda is revealed, you may spend 1 token from your strategy pool to discard that agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead."
Promissory Note,PN Name,Political Favor
,PN Text,"After an agenda is revealed: Remove 1 token from the Xxcha player's strategy pool and return it to his reinforcements. Then, discard the revealed agenda and reveal 1 agenda from the top of the deck. Players vote on this agenda instead. Then, return this card to the Xxcha player."
Starting Assets,Starting Fleet Units,"1 Carrier, 2 Cruisers, 3 Fighters, 4 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,Graviton Laser System (Y)
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Instinct Training
,Tech Prerequisite,(G)
,Tech Effect,You may exhaust this card and spend 1 token from your strategy pool when another player plays an action card; cancel that action card.
Faction Tech 2,Tech Name,Nullification Field
,Tech Prerequisite,(YY)
,Tech Effect,"After another player activates a system that contains 1 or more of your ships, you may exhaust this card and spend 1 token from your strategy pool; immediately end that player's turn."
Breakthrough (TE),BT Name,Archon's Gift
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,You can spend influence as if it were resources. You can spend resources as if it were influence.
Flagship,Ship Name,Loncara Ssodu
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. SPACE CANNON 5 (x3). You may use this unit's SPACE CANNON against ships that are in adjacent systems.
Mech,Mech Name,Indomitus
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,Sustain Damage. SPACE CANNON 8. You may use this unit's SPACE CANNON against ships that are in adjacent systems.
Agent,Agent Name,Ggrocuto Rinn
,Agent Effect,"ACTION: Exhaust this card to ready any planet; if that planet is in a system that is adjacent to a planet you control, you may remove 1 infantry from that planet and return it to its reinforcements."
Commander,Commander Name,Elder Qanoj
,Commander Unlock,Control planets that have a combined total of at least 12 influence.
,Commander Effect,Each planet you exhaust to cast votes provides 1 additional vote. Game effects cannot prevent you from voting on an agenda.
Hero (TE),Hero Name,Xxekir Grom $\Omega$
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Planetary Defense Nexus
,Hero Effect,"ACTION: Place any combination of up to 4 PDS or mech onto planets you control, ready each planet that you place a unit on. Then purge this card."
,,
Faction Core,Faction Name,Yin Brotherhood
,Home System Name,Darien
,Home System Planets,4/4
,Commodities,2
Faction Abilities,Ability 1 Name,Indoctrination
,Ability 1 Effect,"At the start of a ground combat, you may spend 2 influence to replace 1 of your opponent's participating infantry with 1 infantry from your reinforcements."
,Ability 2 Name,Devotion
,Ability 2 Effect,"After each space battle round, you may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit and assign it to 1 of your opponent's ships in that system."
Promissory Note (Codex 1),PN Name,Greyfire Mutagen $\Omega$
,PN Text,"At the start of a ground combat against 2 or more ground forces that are not controlled by the Yin player: Replace 1 of your opponent's infantry with 1 infantry from your reinforcements. Then, return this card to the Yin player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Destroyer, 4 Fighters, 4 Infantry, 1 Space Dock"
,Starting Techs,Sarween Tools (0)
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1 (Codex 1),Tech Name,Yin Spinner $\Omega$
,Tech Prerequisite,(GG)
,Tech Effect,"After you produce units, place up to 2 infantry from your reinforcements on any planet you control or in any space area that contains 1 or more of your ships."
Faction Tech 2 (Codex 1),Tech Name,Impulse Core
,Tech Prerequisite,(YY)
,Tech Effect,"At the start of a space combat, you may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit against your opponent's ships; that hit must be assigned by your opponent to 1 of his non-fighter ships if able."
Breakthrough (TE),BT Name,Yin Ascendant
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"When you gain this card or score a public objective, gain the alliance ability of a random, unused faction."
Flagship,Ship Name,Van Hauge
,Ship Cost,8
,Ship Combat,9 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. When this ship is destroyed, destroy all ships in this system."
Mech,Mech Name,Moyin's Ashes
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: When you use your Indoctrination faction ability, you may spend 1 additional influence to replace your opponent's unit with 1 mech instead of 1 infantry."
Agent (Codex 3),Agent Name,Brother Milor $\Omega$
,Agent Effect,"After a player's unit is destroyed: You may exhaust this card to allow that player to place 2 fighters in the destroyed unit's system if it was a ship, or 2 infantry if it was a ground force."
Commander (Codex 3),Commander Name,Brother Omar $\Omega$
,Commander Unlock,Use one of your faction abilities.
,Commander Effect 1 (Prerequisite),This card satisfies a green technology prerequisite.
,Commander Effect 2 (Research),"When you research a tech owned by another player, you may return 1 of your infantry to reinforcements to ignore its prerequisites."
Hero (Codex 3),Hero Name,Dannel of the Tenth $\Omega$
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,N/A
,Hero Effect,"ACTION: Commit up to 3 infantry from your reinforcements to any non-home planets and resolve invasions on those planets; players cannot use SPACE CANNON against those units. Then, purge this card."
,,
Faction Core,Faction Name,Yssaril Tribes
,Home System Name,Retillion / Shalloq
,Home System Planets,"2/3, 1/2"
,Commodities,3
Faction Abilities,Ability 1 Name,Stall Tactics
,Ability 1 Effect,ACTION: Discard 1 action card from your hand.
,Ability 2 Name,Scheming
,Ability 2 Effect,"When you draw 1 or more action cards, draw 1 additional action card. Then, choose and discard 1 action card from your hand."
,Ability 3 Name,Crafty
,Ability 3 Effect,You can have any number of action cards in your hand. Game effects cannot prevent you from using this ability.
Promissory Note,PN Name,Spy Net
,PN Text,"At the start of your turn: Look at the Yssaril player's hand of action cards. Choose 1 of those cards and add it to your hand. Then, return this card to the Yssaril player."
Starting Assets,Starting Fleet Units,"2 Carriers, 1 Cruiser, 2 Fighters, 5 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,Neural Motivator (0)
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Mageon Implants
,Tech Prerequisite,(GGG)
,Tech Effect,ACTION: Exhaust this card to look at another player's hand of action cards. Choose 1 of those cards and add it to your hand.
Faction Tech 2,Tech Name,Transparasteel Plating
,Tech Prerequisite,(G)
,Tech Effect,"During your turn of the action phase, players that have passed cannot play action cards."
Breakthrough (TE),BT Name,Deepgloom Executable
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"You can allow other players to use your STALL TACTICS or SCHEMING faction abilities; when you do, you may resolve a transaction with that player. During the action phase, that transaction does not count against the once-per-player transaction limit for that turn."
Flagship,Ship Name,Y'sia Y'ssrila
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,2
,Ship Capacity,3
,Ship Abilities,Sustain Damage. This ship can move through systems that contain other player's ships.
Mech,Mech Name,Blackshade Infiltrator
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: After you use your Stall Tactics faction ability, you may place 1 mech on a planet you control."
Agent,Agent Name,Ssruu
,Agent Effect,"This card has the text ability of each other player's agent, even if that agent is exhausted."
Commander,Commander Name,So Ata
,Commander Unlock,Have 7 action cards.
,Commander Effect,"After another player activates a system that contains your units: You may look at that player's action cards, promissory notes, or secret objectives."
Hero,Hero Name,"Kyver, Blade and Key"
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Guild of Spies
,Hero Effect,"ACTION: Each other player shows you 1 action card from their hand. For each player, you may either take that card or force that player to discard 3 random action cards from their hand. Then, purge this card."
,,
Faction Core,Faction Name,Last Bastion (TE)
,Home System Name,Ordinian / Revelation
,Home System Planets,"0/0 (Legendary), 1/2 (Trade Station)"
,Ordinian Legendary Ability,You may exhaust this card when you pass to draw 1 action card and gain 1 command token.
,Commodities,1
Faction Abilities,Ability 1 Name,Liberate
,Ability 1 Effect,"When you gain control of a planet, ready that planet if it contains a number of your infantry $\ge$ that planet's resource value; otherwise, place 1 infantry on that planet."
,Ability 2 Name,Galvanize
,Ability 2 Effect,"When a game effect instructs a player to galvanize a unit, they place a galvanize token beneath it if it does not have one. Galvanized units roll 1 additional die for combat rolls and unit abilities."
,Ability 3 Name,Phoenix Standard
,Ability 3 Effect,"At the end of a combat, you may galvanize 1 of your units that participated."
Promissory Note,PN Name,Raise the Standard
,PN Text,"At the end of a combat: Galvanize 1 of your units that participated. Then, return this card to the Last Bastion player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Cruiser, 2 Fighters, 3 Infantry, 1 Space Dock"
,Starting Techs,Choose one blue or yellow technology with no prerequisites.
Special Unit (Space Dock),Unit Name,"4x4IC ""Helios"" VI"
,Unit Type,"Space Dock (Unique, Structure)"
,Unit Capacity,3
,Unit Production,Planet +2
,Unit Abilities,The resource value of this planet is increased by 1.
Faction Tech 1,Tech Name,"4x4IC ""Helios"" V2"
,Tech Prerequisite,N/A (Upgrade)
,Tech Type,Space Dock Upgrade
,Tech Capacity,5
,Tech Production,Planet +4
,Tech Abilities,The resource value of this planet is increased by 2.
Faction Tech 2,Tech Name,Proxima Targeting VI
,Tech Prerequisite,(R)
,Tech Effect 1 (Defense),Cancel 1 hit produced by BOMBARDMENT rolls made against your ground forces for each of your galvanized units present.
,Tech Effect 2 (Bombardment),"At the start of a round of ground combat, you may resolve BOMBARDMENT 8 (X3) against your opponent's ground forces; if you do, make an identical roll against your own ground forces."
Breakthrough (TE),BT Name,The Icon
,BT Prerequisite,Y$\leftrightarrow$R
,BT Effect,"When you produce ships, you may exhaust this card to place those ships in a system that contains 1 of your command tokens, at least 1 of your ground forces, and no other player's ships."
Flagship,Ship Name,The Egeiro
,Ship Cost,8
,Ship Combat,9 (x1)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,Sustain Damage. Apply +1 to the result of each of this unit's combat rolls for each non-home system that contains a planet you control.
Mech,Mech Name,A3 Valiance
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. When this unit is destroyed, if it was galvanized, galvanize up to 3 of your infantry in its system."
Agent,Agent Name,Dame Briar
,Agent Effect,When a player's unit is destroyed: You may exhaust this card to galvanize another of that player's units in the destroyed unit's system.
Commander,Commander Name,Nip and Tuck
,Commander Unlock,There are 3 galvanized units on the game board
,Commander Effect 1,"Your action cards cannot be canceled by ""Sabotage"" action cards."
,Commander Effect 2,The Nekro Virus cannot place assimilator tokens on your components.
Hero (TE),Hero Name,"Entity 4X41A ""Apollo"""
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Intelligence Unshackled
,Hero Effect,"When one of your galvanized units is destroyed: You may purge this card to roll 1 die for each unit in its system that belongs to another player; if the result is $\ge$ the galvanized unit's combat value, destroy that unit."
,,
Faction Core,Faction Name,The Ral Nel Consortium (TE)
,Home System Name,Mez Lo Orz Fei Zsha / Rep Lo Orz Oet
,Home System Planets,"2/1, 1/3"
,Commodities,4
Faction Abilities,Ability 1 Name,Survival Instinct
,Ability 1 Effect,"After another player activates a system that contains your ships, you may move up to 2 of your ships into the active system from adjacent systems that do not contain your command tokens."
,Ability 2 Name,Miniaturization
,Ability 2 Effect (Transport),Your structures can be transported by any ship; this does not require or count against capacity.
,Ability 2 Effect (Placement),"While your structures are in the space area, they cannot use their unit abilities. At the end of your tactical actions, you may place your structures that are in space areas onto planets you control in their respective systems."
Promissory Note,PN Name,Nano-Link Permit
,PN Text,"After you activate a system: You may move your structures from adjacent systems that do not contain your command tokens onto planets you control in the active system. Then, return this card to the Ral Nel player."
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Destroyer, 2 Fighters, 4 Infantry, 1 Space dock, 2 PDS"
,Starting Techs,Choose one red or green technology with no prerequisites.
Special Unit (Destroyer),Unit Name,Linkship I
,Unit Type,Destroyer (Unique)
,Unit Cost,1
,Unit Combat,9 (x1)
,Unit Move,3
,Unit Abilities,This unit can use the SPACE CANNON ability of one of your structures in its space area; each structure can only be triggered once.
Faction Tech 1,Tech Name,Nanomachines
,Tech Prerequisite,(R)
,Tech Effect (Action 1),ACTION: Exhaust this card to place 1 PDS on a planet you control.
,Tech Effect (Action 2),ACTION: Exhaust this card to repair all of your damaged units.
,Tech Effect (Action 3),ACTION: Exhaust this card and discard 1 action card to draw 1 action card.
Faction Tech 2,Tech Name,Linkship II
,Tech Prerequisite,(RR)
,Tech Type,Destroyer Upgrade
,Tech Combat,8 (x1)
,Tech Move,4
,Tech AFB,6 (x3)
,Tech Abilities,This unit can use the SPACE CANNON ability of one of your structures in its space area; each linkship can trigger the same structure.
Breakthrough (TE),BT Name,Data Skimmer
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"During the action phase, if you have not passed, when other players would discard action cards, they are placed on this card instead. When you pass, take 1 action card from this card and discard the rest."
Flagship,Ship Name,Last Dispatch
,Ship Cost,8
Ship Combat,8 (x2),
,Ship Move,2
,Ship Capacity,4
,Ship Abilities,"Sustain Damage. When this unit retreats, you may destroy 1 ship in the active system that does not have SUSTAIN DAMAGE."
Mech,Mech Name,Alarum
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. At the end of a round of combat on this planet, you may move up to 2 of your ground forces to this planet from planets in adjacent systems."
Agent,Agent Name,Kan Rip Kel
,Agent Effect,ACTION: Exhaust this card to draw 2 action cards; give 1 of those cards to another player.
Commander,Commander Name,Watchful OJZ
,Commander Unlock,Be the last player to pass during the action phase.
,Commander Effect,When you declare a retreat: Immediately retreat up to 2 of your ships from the active system to an adjacent system that does not contain another player's ships. Place a command token from your reinforcements into that system.
Hero,Hero Name,Signal Intrusion
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,N/A
,Hero Effect,"After the last player passes: You may choose to no longer be passed; if you do, gain 2 command tokens, draw 1 action card, and purge this card."
,,
Faction Core,Faction Name,Crimson Rebellion (TE)
,Home System Name,Ahk Creuxx / The Sorrow (Wormhole Gate)
,Home System Planets,"Ahk Creuxx: 4/2. The Sorrow: Tile 94, placed where HS would be (Inactive Breach)."
,Commodities,4
Faction Abilities,Ability 1 Name,Sundered
,Ability 1 Effect,You cannot use wormholes other than epsilon wormholes. Other players' units that move or are placed into your home system are destroyed.
,Ability 2 Name,Incursion
,Ability 2 Effect,"When you activate a system that contains a breach, you may flip that breach; systems that contain active breaches are adjacent. At the end of the status phase, any player with ships in a system that contains an active breach may remove that breach."
,Ability 3 Name,Sea of Tears
,Ability 3 Effect,"When you create the game board, place the Sorrow (tile 94) where your home system would be placed, and place a inactive breach in it. The Sorrow is not a home system. Then, place your home system (tile 118) in your play area."
Promissory Note,PN Name,Sever
,PN Text,ACTION: Place this card faceup in your play area and place the sever token in a system that contains your units; wormholes in that system have no effect during movement. Remove the sever token and return this card to the Rebellion player at the end of the status phase.
Starting Assets,Starting Fleet Units,"1 Dreadnought, 1 Carrier, 1 Destroyer, 2 Fighters, 4 Infantry, 1 Space dock, 2 PDS"
,Starting Techs,Choose one blue or red technology with no prerequisites.
Special Unit (Destroyer),Unit Name,Exile I
,Unit Type,Destroyer (Unique)
,Unit Cost,1
,Unit Combat,8 (x1)
,Unit Move,2
,Unit AFB,9 (x2)
Faction Tech 1,Tech Name,Exile II
,Tech Prerequisite,(RR)
,Tech Type,Destroyer Upgrade
,Tech Combat,7 (x1)
,Tech AFB,6 (x3)
,Tech Abilities,"At the end of any player's combat in this unit's system or up to 2 systems away, you may place 1 active or inactive breach in that system."
Faction Tech 2,Tech Name,Subatomic Splicer
,Tech Prerequisite,(Y)
,Tech Effect,"When one of your ships is destroyed, you may produce a ship of the same type at a space dock in your home system."
Breakthrough (TE),BT Name,Resonance Generator
,BT Prerequisite,B$\leftrightarrow$R
,BT Effect (Movement),"During your tactical actions, apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains an active breach."
,BT Effect (Action),ACTION: Exhaust this card to flip any breach or place an active breach in a non-home system that contains your units.
Flagship,Ship Name,Quietus
,Ship Cost,8
,Ship Combat,5 (x2)
,Ship Move,1
,Ship Capacity,3
,Ship Abilities,"Sustain Damage. While this unit is in a system that contains an active breach, other players units in systems with active breaches lose all their unit abilities."
Mech,Mech Name,Revenant
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. DEPLOY: During the ""Commit Ground Forces"" step of your tactical action in a system that contains an active breach, you may commit 1 mech, even if you have no units in the system."
Agent,Agent Name,Ahk Ravin
,Agent Effect,ACTION: Exhaust this card to choose 1 player. That player may swap the position of 2 of their ships in any systems; they may transport units when they swap.
Commander,Commander Name,Ahk Siever
,Commander Unlock,Place a breach token in a system that contains another player's unit.
,Commander Effect,At the end of a combat between any players: Gain 1 commodity or convert 1 of your commodities to a trade good.
Hero,Hero Name,Homesick Phantom
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Fragment Reality
,Hero Effect,"When you produce ships: You may place any of those ships onto this card. At the start of a space combat, you may purge this card to place all ships from this card into the active system."
,,
Faction Core,Faction Name,Deepwrought Scholarate (TE)
,Home System Name,Ikatena
,Home System Planets,4/4
,Commodities,3
Faction Abilities,Ability 1 Name,Research Team
,Ability 1 Effect,"When ground forces are committed, if your units on that planet are not already coexisting, you may choose for your units to coexist."
,Ability 2 Name,Oceanbound
,Ability 2 Effect,"When your units begin coexisting on a planet, gain an ocean card and ready it. Any time you have more ocean cards than there are planets that contain your coexisting units, discard ocean cards until you do not."
Promissory Note,PN Name,Share Knowledge
,PN Text,"ACTION: Place this card faceup in your play area and gain 1 non-faction, non-unit upgrade technology that the Deepwrought player owns; place that technology on this card. Return that technology to the deck and this card to the Deepwrought player at the end of the status phase."
Starting Assets,Starting Fleet Units,"1 Carrier, 2 Cruisers, 3 Fighters, 4 Infantry, 1 Space Dock, 1 PDS"
,Starting Techs,"During Setup, research Technology twice."
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Radical Advancement
,Tech Prerequisite,(G)
,Tech Effect,"At the start of the status phase, you may replace one of your non-unit upgrade technologies with a technology of the same color that has exactly 1 more prerequisite."
Faction Tech 2,Tech Name,Hydrothermal Mining
,Tech Prerequisite,(G)
,Tech Effect,"At the start of the status phase, gain 1 trade good for each ocean card in play."
Breakthrough (TE),BT Name,Visionaria Select
,BT Prerequisite,Y$\leftrightarrow$G
,BT Effect,"ACTION: Exhaust this card to allow each other player to spend 3 trade goods and give you 1 promissory note. Each player that does may research a non-faction, non-unit upgrade technology. You also gain each technology researched in this way."
Flagship,Ship Name,D.W.S. Luminous
,Ship Cost,8
,Ship Combat,7 (x2)
,Ship Move,1
,Ship Capacity,6
,Ship Abilities,"Sustain Damage. This ship can move through systems that contain your units, even if other players' units are present; if it would, apply +1 to its move value for each of those systems."
Mech,Mech Name,Eanautic
,Mech Cost,2
,Mech Combat,6
,Mech Abilities,"Sustain Damage. PRODUCTION 1. When another player activates this system, if this unit is coexisting, you may move it and any of your infantry on its planet to a planet you control in your home system."
Agent,Agent Name,Doctor Carrina
,Agent Effect,"When another player researches a technology: You may exhaust this card to allow that player to ignore 1 prerequisite; if they do, you may place 1 infantry from your reinforcements into coexistence on a non-home planet they control."
Commander,Commander Name,Aello
,Commander Unlock,Have an ocean card in play.
,Commander Effect,"When another player spends resources to research a technology: That player may reduce the cost by 1; if they do, gain 1 commodity or convert 1 of your commodities to a trade good."
Hero,Hero Name,Ta Zern
,Hero Unlock,Have 3 scored objectives.
,Hero Ability Name,Wave Function Collapse
,Hero Effect,"ACTION: Purge this card and a non-unit upgrade technology you own or from your deck; then, purge all cards with the same name owned by other players and in other players' decks. Then, each player that purged a technology they owned researches another technology."
,,
Faction Core,Faction Name,The Firmament (Starting) / The Obsidian (Transformed) (TE)
,Home System (Firmament),"Cronos: 2/1, Tallin: 1/2"
,Home System (Obsidian),"Cronos Hollow: 3/0, Tallin Hollow: 3/0"
,Commodities,3
Faction Abilities,Ability 1 Name,Plots within Plots (Firmament)
,Ability 1 Effect,"Score secret objectives already scored by other players (does not count against limits). Gain no VP, but place a facedown plot card with that player's control token on it."
,Ability 2 Name,Puppets of the Blade (Firmament)
,Ability 2 Effect,"If you have $\ge 1$ plot card, ACTION: Purge Firmament components. Gain all Obsidian components."
,Ability 3 Name,The Blade's Orchestra (Obsidian)
,Ability 3 Effect,"When this faction comes into play, flip your home system, double-sided faction components, and all of your in-play plot cards. Then, ready Cronos Hollow and Tallin Hollow if you control them."
,Ability 4 Name,Nocturne (Obsidian)
,Ability 4 Effect,This faction cannot be chosen during setup.
Promissory Note (Dual-Sided),PN 1 (Firmament),Black Ops
,PN 1 Text,"When you receive this card (if not Firmament): Firmament may place 1 facedown plot card with your control token on it. Then, gain 2 command tokens, gain 2 trade goods, and purge this card."
,PN 2 (Dual),Malevolency
,PN 2 Text,End of tactical action: Spend 1 influence to give this card to a neighbor (even if Obsidian). End of status phase (if not Obsidian): Remove 1 CC from fleet pool to reinforcements.
Starting Assets,Starting Fleet Units,"1 Carrier, 1 Cruiser, 1 Destroyer, 3 fighters, 3 infantry, 1 Space Dock"
,Starting Techs,Choose one green or yellow technology that has no prerequisites.
Special Unit,Unit Name,None
,Unit Type,N/A
Faction Tech 1,Tech Name,Planesplitter
,Tech Prerequisite,(YY) / (0) [Firmament/Obsidian]
,Tech Effect (Dual),"When you gain this card, put The Fracture into play. (Flip card if Obsidian is in play)."
Faction Tech 2,Tech Name,Neural Parasite
,Tech Prerequisite,(GG) / (0) [Firmament/Obsidian]
,Tech Effect (Firmament),"Start of status phase, may place 1 infantry from reinforcements on a planet you control in your home system."
,Tech Effect (Obsidian),"Start of your turn, destroy 1 of another player's infantry in or adjacent to a system that contains your infantry. (Cannot be researched)."
Breakthrough (Dual),BT 1 (Firmament),The Sowing
,BT 1 Prereq,Y$\leftrightarrow$G
,BT 1 Effect,"When you gain this card and at the start of the status phase, you may place up to 3 of your trade goods on this card. (Flip card if Obsidian)."
,BT 2 (Obsidian),The Reaping
,BT 2 Prereq,Y$\leftrightarrow$G
,BT 2 Effect,"Place 1 TG from supply onto this card each time you win combat against a puppeted player. Start of status phase, gain all TGs on this card, then gain an equal number of TGs from the supply."
Flagship 1 (Firmament),Ship Name,Heaven's Eye
,Ship Combat,5 (x2)
,Ship Abilities,"Sustain Damage. If active system contains units belonging to a player who has a control token on 1 of your plots, apply +1 to this ship's move value and repair it at the end of every combat round."
Flagship 2 (Obsidian),Ship Name,Heaven's Hollow
,Ship Combat,5 (x3)
,Ship Abilities,Sustain Damage.
Mech (Dual-Sided),Mech Name,Viper Ex-23
,Mech Effect (Firmament),"When ground forces are committed to this planet, may choose for your units to coexist, if not already. (Flip card if Obsidian)."
,Mech Effect (Obsidian),"If this unit was coexisting when this card flipped, gain control of its planet; the other player's units are now coexisting."
Agent 1 (Firmament),Agent Name,Myru Vos
,Agent Effect,"When a player moves ships: Exhaust to prevent SPACE CANNON use against those ships. If not transporting units, they can also move through other players' ships."
Agent 2 (Obsidian),Agent Name,Vos Hollow
